"chillR_code","Name","CTRY","Latitude","Longitude","Elevation","BEGIN","END","distance","elevation_diff","Perc_Tmin","Perc_Tmax","Cod_Station","Institution","Source","Distance","N_Obs","Perc_days_complete"
"833780_99999","PRESIDENTE JUSCELINO KUBITSCHEK","BR",-15.863,-47.913,1060.4,19610101,20191115,3010.86,-930.4,99.5965417867435,99.5965417867435,NA,NA,NA,NA,NA,NA
"844520_99999","CAPT JOSE A  QUINONES GONZALES INTL","PE",-6.787,-79.828,29.6,19330102,20191115,3025.1,100.4,95.871757925072,95.871757925072,NA,NA,NA,NA,NA,NA
"803980_99999","ALFREDO VASQUEZ COBO","CO",-4.193,-69.943,84.4,19670601,20191115,3180.27,45.6,96.1527377521614,96.2463976945245,NA,NA,NA,NA,NA,NA
"844010_99999","CAPITAN FAP GUILLERMO CONCHA IBERICO","PE",-5.206,-80.616,35.4,19570701,20191115,3217.37,94.6,91.2247838616715,91.2319884726225,NA,NA,NA,NA,NA,NA
"843770_99999","CORONEL FRANCISCO SECADA VIGNETTA INTL","PE",-3.785,-73.309,93.3,19730101,20191115,3230.07,36.7,98.7680115273775,98.7824207492795,NA,NA,NA,NA,NA,NA
"836490_99999","GOIABEIRAS","BR",-20.258,-40.286,3.4,19730101,20191115,3366.95,126.6,97.6512968299712,97.6585014409222,NA,NA,NA,NA,NA,NA
"823320_99999","PONTA PELADA","BR",-3.146,-59.986,81.4,19730101,20191115,3495.1,48.6,98.1844380403458,98.1916426512968,NA,NA,NA,NA,NA,NA
"821110_99999","EDUARDO GOMES INTL","BR",-3.039,-60.05,80.5,19770501,20191115,3504.11,49.5,99.5821325648415,99.5965417867435,NA,NA,NA,NA,NA,NA
"842030_99999","SIMON BOLIVAR INTL","EC",-2.157,-79.884,5.8,19770701,20191115,3521.34,124.2,97.4207492795389,97.463976945245,NA,NA,NA,NA,NA,NA
"822440_99999","SANTAREM","BR",-2.422,-54.793,60.4,19730101,20191115,3783.87,69.6,98.8832853025937,98.8976945244957,NA,NA,NA,NA,NA,NA
"832480_99999","DEPUTADO LUIS EDUARDO MAGALHAES","BR",-12.911,-38.331,19.5,19430809,20191115,4006.16,110.5,99.4740634005764,99.5244956772334,NA,NA,NA,NA,NA,NA
"802590_99999","ALFONSO BONILLA ARAGON INTL","CO",3.543,-76.382,963.8,19490103,20191115,4069.68,-833.8,95.799711815562,95.835734870317,NA,NA,NA,NA,NA,NA
"820220_99999","BOA VISTA","BR",2.846,-60.69,84.1,19730101,20191115,4108.21,45.9,93.4221902017291,93.4438040345821,NA,NA,NA,NA,NA,NA
"802220_99999","ELDORADO INTL","CO",4.702,-74.147,2548.4,19410301,20191115,4172.66,-2418.4,98.9121037463977,98.8832853025937,NA,NA,NA,NA,NA,NA
"802100_99999","MATECANA","CO",4.813,-75.74,1346,19500101,20191115,4200.74,-1216,90.5763688760807,90.5979827089337,NA,NA,NA,NA,NA,NA
"821930_99999","VAL DE CANS INTL","BR",-1.379,-48.476,16.5,19421001,20191115,4221.86,113.5,99.1138328530259,99.1210374639769,NA,NA,NA,NA,NA,NA
NA,"Quillota",NA,-32.8958,-71.2092,130,NA,NA,NA,NA,NA,NA,"Cod_5426004","DGA","dga_web",0,26391,95.07
NA,"Lliu-Lliu Embalse",NA,-33.0986,-71.2144,260,NA,NA,NA,NA,NA,NA,"Cod_5427006","DGA","dga_web",22.5,26448,95.27
NA,"Lago Peuelas",NA,-33.145,-71.5553,360,NA,NA,NA,NA,NA,NA,"Cod_5510002","DGA","dga_web",42.54,26531,95.57
NA,"Los Panguiles",NA,-33.4386,-71.0256,190,NA,NA,NA,NA,NA,NA,"Cod_5744002","DGA","dga_web",62.59,25927,93.4
NA,"Pudahuel Santiago",NA,-33.3919,-70.7944,482,NA,NA,NA,NA,NA,NA,"Cod_330021","DMC","dmc_web",67.27,27747,99.95
NA,"Vilcuya",NA,-32.8603,-70.4719,1100,NA,NA,NA,NA,NA,NA,"Cod_5410006","DGA","dga_web",69.11,26318,94.81
NA,"Alicahue",NA,-32.3408,-70.7528,750,NA,NA,NA,NA,NA,NA,"Cod_5200006","DGA","dga_web",74.99,26358,94.95
NA,"Quinta Normal Santiago",NA,-33.445,-70.6828,527,NA,NA,NA,NA,NA,NA,"Cod_330020","DMC","dmc_merge",78.24,27756,99.99
NA,"Cerro Calan",NA,-33.395,-70.5367,848,NA,NA,NA,NA,NA,NA,"Cod_5730012","DGA","dga_web",83.68,27723,99.87
NA,"Eulogio Sanchez Tobalaba Ad.",NA,-33.4544,-70.5478,650,NA,NA,NA,NA,NA,NA,"Cod_330019","DMC","dmc_web",87.43,27039,97.4
NA,"Los Condores",NA,-32.1086,-71.3125,190,NA,NA,NA,NA,NA,NA,"Cod_4902002","DGA","dga_web",87.84,26054,93.85
NA,"Santo Domingo Ad.",NA,-33.655,-71.6142,75,NA,NA,NA,NA,NA,NA,"Cod_330030","DMC","dmc_web",92.27,27222,98.06
NA,"Pirque",NA,-33.6736,-70.5869,659,NA,NA,NA,NA,NA,NA,"Cod_5711003","DGA","dga_web",103.93,25713,92.63
NA,"La Tranquilla",NA,-31.9,-70.6706,1000,NA,NA,NA,NA,NA,NA,"Cod_4710001","DGA","dga_web",121.5,27010,97.3
NA,"Illapel Dga",NA,-31.645,-71.1908,290,NA,NA,NA,NA,NA,NA,"Cod_4726003","DGA","dga_web",138.71,26779,96.47
NA,"Cogoti Embalse",NA,-31.0078,-71.0856,740,NA,NA,NA,NA,NA,NA,"Cod_4535001","DGA","dga_web",209.68,26804,96.56
NA,"Las Ramadas",NA,-31.0181,-70.5858,1380,NA,NA,NA,NA,NA,NA,"Cod_4511003","DGA","dga_web",216.39,26629,95.93
NA,"General Freire Curico Ad.",NA,-34.9664,-71.2167,225,NA,NA,NA,NA,NA,NA,"Cod_340031","DMC","dmc_merge",229.68,27740,99.93
NA,"Paloma Embalse",NA,-30.6958,-71.0361,320,NA,NA,NA,NA,NA,NA,"Cod_4540006","DGA","dga_web",244.49,26828,96.64
NA,"Potrero Grande",NA,-35.1833,-71.0978,445,NA,NA,NA,NA,NA,NA,"Cod_7116005","DGA","dga_web",253.95,27481,98.99
NA,"Talca U.C.",NA,-35.4358,-71.6197,130,NA,NA,NA,NA,NA,NA,"Cod_7378002","DGA","dga_web",284.28,25391,91.47
NA,"Hurtado",NA,-30.2867,-70.6961,1100,NA,NA,NA,NA,NA,NA,"Cod_4502005","DGA","dga_web",293.37,25966,93.54
NA,"Colorado",NA,-35.6381,-71.2606,420,NA,NA,NA,NA,NA,NA,"Cod_7378003","DGA","dga_web",304.23,25099,90.41
NA,"La Ortiga",NA,-30.1939,-70.4819,1560,NA,NA,NA,NA,NA,NA,"Cod_4311005","DGA","dga_web",307.44,27023,97.35
NA,"Rivadavia",NA,-29.9772,-70.5617,820,NA,NA,NA,NA,NA,NA,"Cod_4308003","DGA","dga_web",329.41,26947,97.07
NA,"La Florida La Serena Ad.",NA,-29.9175,-71.2011,142,NA,NA,NA,NA,NA,NA,"Cod_290004","DMC","dmc_merge",330.23,27730,99.89
NA,"Parral",NA,-36.1878,-71.8283,175,NA,NA,NA,NA,NA,NA,"Cod_7345001","DGA","dga_web",369.58,27540,99.21
