"Station name","Country","Database","Latitude","Longitude","Elevation","Percentage of data complete"
"COMODORO RIVADAVIA","AR","GSOD","45.78 °S","67.47 °W",57.9,99
"Balmaceda Ad.","CL","CR2","45.91 °S","71.69 °W",517,99.9
"BALMACEDA","CL","GSOD","45.92 °S","71.69 °W",524.9,95
"Chile Chico Ad.","CL","CR2","46.58 °S","71.69 °W",306,93.6
"Lord Cochrane Ad.","CL","CR2","47.24 °S","72.59 °W",204,95.5
"SAN JULIAN","AR","GSOD","49.31 °S","67.8 °W",57.9,93.3
"Torres Del Paine","CL","CR2","51.18 °S","72.97 °W",25,91.6
"RIO GALLEGOS","AR","GSOD","51.61 °S","69.31 °W",18.6,98.6
"CARLOS IBANEZ DEL CAMPO INTL","CL","GSOD","53 °S","70.86 °W",42.4,99.1
"Punta Arenas","CL","CR2","53 °S","70.84 °W",38,100
"Punta Arenas 2","CL","CR2","53.12 °S","70.88 °W",5,100
"RIO GRANDE 2","AR","GSOD","53.78 °S","67.75 °W",19.8,95.1
