"station_name","Altitude","Latitude","Longitude","country","1981","1985","1989","1993","1997","2001","2005","2009","2013","2017","rcp45_2050_pessimistic","rcp45_2050_intermediate","rcp45_2050_optimistic","rcp45_2085_pessimistic","rcp45_2085_intermediate","rcp45_2085_optimistic","rcp85_2050_pessimistic","rcp85_2050_intermediate","rcp85_2050_optimistic","rcp85_2085_pessimistic","rcp85_2085_intermediate","rcp85_2085_optimistic"
"COMODORO PIERRESTEGUI",34.1,-31.297,-57.997,"AR",25.615408903959,25.2760350872347,26.2704072076272,24.9600832221809,24.0502531391444,23.5153434928054,26.011723195842,26.4517475391826,25.4733761974701,23.9721702633492,15.2648365420191,18.2936336763383,22.5175077771119,16.5866113436473,19.5881334279638,34.5347420578173,14.6449482108925,15.9432146489455,18.3900957523297,7.99035075883126,12.8487004610047,24.1004701046531
"COMODORO RIVADAVIA",57.9,-45.785,-67.466,"AR",79.6134218875861,78.2175915410462,78.0707092053217,75.8862567895703,75.5260304325288,76.375657879971,75.0076138878177,74.6843546856544,72.6938872987885,71.9283001357553,67.798003892799,71.895210312583,75.360652049234,68.2091424029031,71.9094843282019,79.7903510366909,63.9189902668468,69.5383180397712,72.9778413554668,58.7411015216835,62.7294422290956,73.9267293402499
"CONGONHAS",801.9,-23.627,-46.655,"BR",3.01703130982935,3.02056691961792,3.005073406625,3.00830109383679,2.00837575005849,1.0121623845659,1.01216005059365,2.00185931242117,2.01676657650452,2.01556561932517,0,0,1.00350920872981,0,0,3.01835420903069,0,0,0,0,0,1.00211269411483
"CORONEL CARLOS CIRIANI SANTA ROSA INTL",468.8,-18.053,-70.276,"PE",3.02299358282187,3.06007270499853,4.00588273982669,2.02387681398397,2.011074527804,2.33504854494836,2.93261764550971,1.01580467333173,0.999437776572421,0.998013615720623,0,0,0,0,0,2.01829471319974,0,0,0,0,0,0
"CORONEL FRANCISCO SECADA VIGNETTA INTL",93.3,-3.785,-73.309,"PE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRIENTES",61.9,-27.446,-58.762,"AR",11.8538252854938,11.9680196607665,11.7218982713998,12.0731178639494,10.6268305215298,8.85037292718198,10.4692901900223,9.86333286217541,9.85797461950347,10.0240373613111,3.71480208588616,4.71554306906265,6.53608500131185,3.90267929987252,4.96193676096391,11.0346122073706,2.51014725058496,3.94801309146249,4.98267583760179,0,2.0159744246447,6.11804963440397
"DEPUTADO LUIS EDUARDO MAGALHAES",19.5,-12.911,-38.331,"BR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diego Aracena Iquique Ap.",52,-20.5397,-70.1786,"CI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Digua Embalse",390,-36.2558,-71.5481,"CI",83.9729859593808,83.8818965738101,82.7512241055392,82.3798729939372,82.1452024221308,83.1144303673938,84.0654738971261,84.2580715426298,84.6136949277884,84.8002194383698,73.4425508350769,79.3166976486091,82.8609118527811,74.3513978712563,79.8276537527936,86.1232177451147,71.5767956277987,75.9779258725048,80.1241714050532,62.8991840377628,70.6101263207229,81.1105054495238
"Diguillin",670,-36.8686,-71.6425,"CI",80.959977496329,80.4983453367731,80.2584431691048,80.4471047578174,80.210659768529,81.2233125147188,82.406662854537,82.4698962834827,82.3358506601144,81.9010546934314,70.7408304364408,75.9485334982437,79.0373234483031,71.0384054774267,76.3703354738682,81.8197853474958,70.038336458513,73.5317144011515,77.1943076479797,60.537394964218,67.8167780851919,75.9932971909002
"EDUARDO GOMES INTL",80.5,-3.039,-60.05,"BR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
